Depth_meter,Area_meterSquared
0,115037724.9
0.2,115037724.9
0.7,115037724.9
1.2,115037724.9
1.7,113319843.1
2.2,111674396.6
2.7,110149164.9
3.2,108561783.2
3.7,107015302.3
4.2,105647597.3
4.7,104387263.4
5.2,103067596.4
5.7,101704772
6.2,100400363.6
6.7,99096234.6
7.2,97722220.8
7.6,96329899.9
8.1,95058507
8.6,93720362.7
9.1,92305783.3
9.6,90851924.4
10.1,89289313.5
10.6,87665203.2
11.1,86104019.3
11.6,84356949.7
12.1,82797129.8
12.6,81377897.7
13.1,79956807.7
13.6,78512836.5
14.1,77187354.9
14.6,75623994.2
15,73999165.8
15.5,72255427.5
16,70249766.9
16.5,68010676
17,65939910.4
17.5,63696596
18,61786133.5
18.5,60001532.7
19,58254438.8
19.5,56559345.5
20,54943364.9
20.5,54830573.1
21,53063937.3
21.5,51310498.7
22,49162714.6
22.4,46545248
22.9,44205670.5
23.4,41897295.4
23.9,39639997.4
24.4,38018086.7
24.9,36399226.7
25.4,34715875.5
25.9,33291152.2
26.4,32068538.9
26.9,30873329.1
27.4,29614477.9
27.9,28587974.9
28.4,27696953
28.9,26792173.1
29.4,26059245.8
29.8,25334520.9
30.3,24561275.9
30.8,23631395.3
31.3,22749983.9
31.8,21771234.7
32.3,20910330.4
32.8,20075106.9
33.3,19299147.4
33.8,18611669.8
34.3,17930305.5
34.8,17291692.4
35.3,16647319.3
35.8,15965813.7
36.3,15248324.3
36.8,14529553.9
37.2,13773789.7
37.7,13020907.1
38.2,12262097
38.7,11430772.3
39.2,10638036.8
39.7,9853040.9
40.2,8946708.1
40.7,8078696.6
41.2,7446855.1
41.7,6872353.5
42.2,6452625.9
42.7,5994883.5
43.2,5294024.3
43.7,4779593.1
44.1,4455734.7
44.6,4147709.4
45.1,3905861.1
45.6,3616408.2
46.1,3202772.4
46.6,2833716.4
47.1,2502950.4
47.6,2177090.7
48.1,1882797.7
48.6,1616297.3
49.1,1401029.2
49.6,1202154.5
50.1,1005421.6
50.6,765770
51.1,607797.8
51.5,489816.8
52,363620.5
52.5,286870.3
53,226484.8
53.5,185085.1
54,103355
54.5,64718.2
55,45855
55.5,29455.2
56,14522.9
60,0
