"depth","temp_c"
0,13.7235559909684
0.5,13.6992891349111
1,13.6671274462412
1.5,13.6055548875672
2,13.5241106305011
2.5,13.1729329097839
3,12.9773156143898
3.5,12.8382925371897
4,12.7395786903071
4.5,12.6290872252555
5,12.5241937560813
5.5,12.4191022846812
6,12.3024862345984
6.5,12.1796561526117
7,12.1023830408274
7.5,11.9950250109037
8,11.9048687646555
8.5,11.7578018300874
9,11.4899264309018
9.5,11.2618059756075
10,10.5871902418691
10.5,10.282755120425
11,9.84092240832573
11.5,9.70708079848971
12,9.59074111871941
12.5,9.4562961146945
13,9.33155825526215
13.5,9.17599102996645
14,9.04391885081003
14.5,8.89425163325809
15,8.75340732308321
15.5,8.60191881940478
16,8.46806299686432
16.5,8.32296051014037
17,8.18315514852834
17.5,8.03192500273387
18,7.88072283600652
18.5,7.72296216658184
19,7.60166992143143
19.5,7.47336754344759
20,7.33246901700663
20.5,7.20285080728077
21,6.95173330673805
21.5,6.88334015437535
22,6.8513383608598
22.5,6.7856926955874
23,6.74756930424617
23.5,6.68009885909065
24,6.63656290494479
24.5,6.55093813699389
25,6.49956591312702
25.5,6.43796374305846
26,6.4087173645313
26.5,6.35278300633506
27,6.32600062076862
27.5,6.27332036078922
28,6.24575404387254
28.5,6.19741941255236
29,6.16124418377876
29.5,6.12675672107273
30,6.09447976946831
30.5,6.0651400278485
31,6.03421106189489
31.5,6.00996486724369
32,5.98340051993728
32.5,5.96374180581835
33,5.93977182358503
33.5,5.92101093700954
34,5.89911622181535
34.5,5.88373932384309
35,5.864705465734
35.5,5.85157627529568
36,5.83452609926462
36.5,5.82258461013673
37,5.80802623927593
37.5,5.79917605339535
38,5.78418996557593
38.5,5.77804481793964
39,5.76415476202965
39.5,5.75928888245234
40,5.74597948417068
40.5,5.74069540841239
41,5.72674806788564
41.5,5.72253000925458
42,5.70854819566011
42.5,5.70484434233771
43,5.69128698855639
43.5,5.68797486925882
44,5.67445467412472
44.5,5.6718750870417
45,5.65870585665107
45.5,5.65846622936309
46,5.65290322757903
46.5,5.64766817244272
47,5.64280791509719
47.5,5.63827999811324
48,5.63391430794247
48.5,5.62975503149487
49,5.62582182505774
49.5,5.62217408891708
50,5.61891816154359
50.5,5.61613420456175
51,5.61358219101315
51.5,5.61098478332398
52,5.60809717481099
52.5,5.60489150834462
53,5.60190059646728
53.5,5.59928712012276
54,5.59695699858287
54.5,5.59483128880698
55,5.59293035098485
55.5,5.59078217309619
56,5.58797577449254
56.5,5.5849837916238
57,5.5823737250434
57.5,5.58040402805994
58,5.57875235118563
58.5,5.57756549593002
59,5.57673783529372
59.5,5.57617937950861
60,5.65811116659819
